Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-4.406272	2.464396	0.12548497	-8.890186	12.744024	13.190109	42.296066	0.0	1000.0	101.95219	0.012744023323059081	-0.9723802	0.31548265	0.08972797	-1.5151864	0.49625546	0.68821007	1.3843834	-0.98666525	-0.069845684	-0.07123316	0.072609164	-0.04505028	-0.07359133	0.14557257	0.38438344	-0.2	1.069294	0.1700285	1.5593224	0.58555496	0.9889767	-0.43546098	5.415086	-1.3596387	-0.069845684	-0.06248849	79.0	1.837877	0.008389846	8000	21.35330629348755
1	-5.109276	3.6263099	-0.3011844	-10.568456	10.821392	7.6577106	22.599348	0.0	1000.0	188.52333	0.011782708168029786	-0.5248943	0.20001669	0.23482643	-1.1073937	1.0507894	0.28223372	1.8922651	0.00388479	-0.0042330823	-0.003937137	-0.05298243	0.0002602376	0.07283611	0.24936007	0.8922651	-0.2	0.67731327	0.2669815	1.6305568	0.25709507	0.6353148	-0.18511248	2.9483178	-0.69358635	-0.004233053	-0.0013629287	2.0	1.8486484	0.007844154	16000	39.34119939804077
2	-3.2043543	2.5693922	2.297903	-6.2616735	7.2257204	13.8336	42.43729	0.0	1000.0	246.32909	0.010263711929321288	-0.47012243	0.48041272	0.95731074	-1.7150146	0.9570858	0.6251078	3.2906344	-0.39814496	0.00082544563	-0.0042104023	-0.074864745	0.00014082342	0.11967134	0.49117365	2.2906344	-0.2	0.68071616	0.26812723	1.6867961	0.25062314	0.44084552	-0.08378816	2.882113	-0.7256217	0.00082543277	-0.00056463433	4.0	1.8491964	0.009496784	24000	56.50544714927673
3	-2.6824741	2.9544628	0.8211839	-7.354	12.310068	14.469818	45.27808	0.0	1000.0	344.80963	0.010775300979614258	-0.31457397	0.4786774	1.1664898	-1.6922897	0.9597341	1.1353662	4.944572	-0.80690336	0.0015737248	-0.023998225	-0.23468122	-0.26800188	0.3468805	0.824073	3.944572	-0.2	0.6751824	0.27286154	1.7934322	0.24437667	0.24576525	-0.03695482	3.316149	-0.8490498	0.001573726	-0.014613235	79.0	1.8497345	0.0064315535	32000	75.09136486053467
4	-0.73975664	2.3125186	4.044691	-4.1059666	25.544567	17.691828	50.537262	0.046181235	1000.0	549.1662	0.01372915496826172	-0.18221043	0.50840324	1.2159483	-1.8121475	1.8156137	1.4228027	6.326474	-0.62661403	-0.015027206	-0.056604583	-1.3682566	-1.1022713	0.9659289	1.2664874	5.326474	-0.2	1.3977373	0.4565362	2.4660952	0.34168637	0.28056043	-0.09887235	5.637421	-2.4406629	-0.015027206	-0.05726668	62.0	1.823309	0.012457751	40000	93.45479011535645
5	0.5631799	2.3957012	4.8016877	-2.8071659	21.815994	13.301938	43.671337	0.0	1000.0	723.69415	0.015076961517333985	-0.036162384	0.41884512	1.631071	-1.8318058	2.2214937	2.1871028	9.40519	-1.5439569	0.03326198	-0.0037850253	-3.8525567	-0.09307933	1.5403013	1.8326813	8.40519	-0.2	2.5247743	0.62083	3.3279493	0.6237955	0.14531542	-0.027670093	4.654587	-0.8433268	0.033261992	-0.013100745	2.0	1.8264015	0.021796547	48000	110.48049926757812
6	-2.2244573	1.4470077	0.6090353	-3.8819487	12.520337	21.984747	68.2059	0.0	1000.0	823.8568	0.01471172877720424	-0.07780134	0.29655275	0.89363074	-0.9618968	1.4182509	2.197536	9.585715	-0.8738107	-0.014294007	-0.010034404	-2.28503	-0.21056294	0.89905435	1.8795451	8.585715	-0.2	2.5148215	0.6517147	3.3012457	0.61773133	0.24992734	-0.07526973	2.9757519	-0.5681009	-0.014294	-0.011221444	10.0	1.8276193	0.012604521	56000	127.46283888816833
7	-1.8075013	1.1857961	0.7109135	-3.3967025	16.055971	16.123264	35.663174	0.0	1000.0	952.3046	0.014879759788513183	-0.27410108	0.5761142	1.0233266	-1.986773	1.3229333	1.9696782	9.961502	-1.6625077	0.015264516	-0.015839042	-2.1482155	-0.17319131	0.7816756	1.6465081	8.961502	-0.2	2.75162	0.6805749	3.6086967	0.7324215	0.136762	-0.042489	2.4795487	-0.6200805	0.015264502	-0.01904571	11.0	1.8310182	0.011857586	64000	144.61263132095337
8	-0.65032846	1.7573948	1.0835271	-4.3813634	22.616402	17.203808	58.210983	0.0	1000.0	1133.2358	0.01573938666449653	-0.08559303	0.38141257	0.9102747	-1.1369948	2.1411169	2.3000972	10.681909	-0.7946158	0.01675876	-0.03355	-4.398924	-0.89641476	1.4727784	1.9940088	9.681909	-0.2	2.982932	0.7004361	3.833702	0.79286826	0.16263953	-0.02548325	3.6575024	-0.6811857	0.016758747	-0.041940108	29.0	1.8335383	0.013547466	72000	161.64133620262146
9	-1.0024188	1.4251711	1.1547265	-4.089471	15.979893	17.149258	53.06451	0.0	1000.0	1261.075	0.015763436889648437	-0.090486266	0.37577406	0.9605411	-1.3816216	1.7565393	2.1651065	9.894754	-0.90773386	-0.02375878	-0.0067110322	-3.8987944	-0.068155766	1.0961311	1.9089383	8.894754	-0.2	3.5534296	0.7861699	4.5203247	1.0658722	0.17241576	-0.026666135	3.3025098	-0.83329344	-0.023758775	-0.022231469	2.0	1.8069394	0.020881139	80000	178.6188027858734
