Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.7609867	0.68655664	0.24286686	-1.6956167	8.625	7.4822707	20.0	0.0	1000.0	69.0	0.008625	0.6836782	0.43926018	1.4547166	-0.55640167	0.16030063	0.40019533	0.84764504	-1.0843066	-0.09048717	0.021128736	0.07136776	-0.029724479	-0.10000002	1.4901161e-08	-0.1	-0.1	0.7136776	0.50095093	3.1762047	0.16005021	0.8240912	-0.66306907	1.8477329	-0.70730364	-0.09048716	0.030754894	79.0	1.837877	0.0072989357	8000	19.201953887939453
1	-0.43037623	1.7413687	3.0012627	-2.704628	9.375	5.2186565	17.0	2.0	1000.0	144.0	0.009	0.0113523435	0.07689957	0.97293156	-0.37710473	0.82913375	0.17347954	1.7134241	-0.12975611	0.00031678542	-0.015687404	0.026959445	-0.008696018	-0.05928587	0.08632344	0.7134241	-0.1	0.4102516	0.4017208	2.896189	0.084229	0.19351822	-0.026954845	1.2120389	-0.16263998	0.0003167885	-0.0031186577	79.0	1.8105984	0.009127839	16000	38.07676601409912
2	0.113226004	0.9022843	1.2993898	-1.0490096	11.0	6.0827627	20.0	0.0	1000.0	232.0	0.009666666666666667	-0.030925628	0.09243515	0.70306444	-0.5400411	0.8430603	0.32105312	2.469465	-0.027613789	0.0067908284	-0.016898837	-0.002266675	-0.0016167683	0.005242195	0.16931167	1.469465	-0.1	0.27705738	0.32031637	3.5136285	0.06276518	0.10289412	-0.021128327	1.6082335	-0.27414322	0.006790822	-0.0057351096	79.0	1.7948513	0.008399017	24000	56.920969009399414
3	-0.7728125	0.6283809	0.010192841	-1.708597	4.625	6.817945	21.0	0.0	1000.0	269.0	0.00840625	-0.0005901391	0.1215889	0.6995674	-0.4820876	0.7538232	0.43580693	3.3254867	-0.13921912	-0.014591889	-0.013076212	-0.011285894	-0.0019582203	0.022220135	0.24278976	2.3254867	-0.1	0.23671103	0.25072432	2.851391	0.066517204	0.09144116	-0.03221478	0.48817608	-0.2153185	-0.0145918885	-0.002880131	79.0	1.7886765	0.0063156937	32000	76.1989369392395
4	-0.095960416	0.3803545	0.48745874	-0.6660946	7.5	5.17204	16.0	0.0	1000.0	329.0	0.008225	-0.071609706	0.22155342	0.50753945	-0.7529718	0.7059587	0.60924345	3.5072987	-0.37725598	0.0050149392	-0.016057588	-0.020322548	-0.012599172	0.07397093	0.30297607	2.5072987	-0.1	0.2599831	0.26933607	3.6281812	0.066221915	0.06166043	-0.017002106	0.76684934	-0.093280494	0.005014963	-0.0048531154	79.0	1.7643814	0.0060879434	40000	95.8738226890564
5	0.71113294	1.3496097	3.8028407	-0.70163125	5.5	4.84768	15.0	0.0	1000.0	373.0	0.007770833333333334	-0.008600661	0.1885538	0.8477207	-0.91643286	0.7812789	0.61989534	3.1268702	-0.286782	-0.00086786837	-0.014263243	-0.049744796	-0.079909384	0.11624864	0.34272465	2.1268702	-0.1	0.37907568	0.248112	3.736205	0.10733562	0.0938101	-0.03089232	0.44639367	-0.09047088	-0.00086785527	-0.0011574696	79.0	1.7504939	0.008560079	48000	114.54780769348145
6	-0.15718383	0.4926865	0.45352462	-0.9940673	6.125	4.8589478	17.0	0.0	1000.0	422.0	0.007535714285714285	0.019446367	0.28551313	0.6695958	-0.79465485	0.5407976	0.54968166	3.2205896	-0.52523994	0.0011323771	-0.019724336	0.00068454206	0.00019226945	-0.008817673	0.20094931	2.2205896	-0.1	1.0210999	0.2570547	3.9967837	0.33417916	0.04652851	-0.018249663	0.48929188	-0.042809367	0.0011323693	-0.006870335	79.0	1.7520586	0.008739715	56000	133.93949961662292
7	0.2925812	0.73014534	1.2556217	-0.6517663	12.75	7.8062477	27.0	2.0	1000.0	524.0	0.0081875	-0.0114793	0.22889173	0.704561	-1.0039625	0.7126716	0.50224274	3.3981066	-0.44771907	-0.008122279	-0.0290992	-0.053411815	-0.009886172	0.030844929	0.24166772	2.3981066	-0.1	1.3385385	0.30154404	4.184573	0.4281528	0.037678618	-0.0062225126	1.530927	-0.59562624	-0.008122282	-0.021580443	56.0	1.7213695	0.0121932905	64000	154.4296681880951
8	-0.10370881	0.5846796	0.9795478	-0.8392758	11.0	13.019217	41.0	0.0	1000.0	612.0	0.0085	0.055064954	0.18315397	0.6849285	-0.527057	1.0639576	1.1081997	4.211881	-0.7687643	0.014183346	-0.0043810196	-0.72025853	-0.016115367	0.4489657	0.7665756	3.2118812	-0.1	1.5527153	0.30744654	4.486032	0.5274675	0.03831063	-0.008929821	0.85371906	-0.17895222	0.014183353	-0.0024799127	2.0	1.7128124	0.002679665	72000	172.52629494667053
9	0.51670694	1.152372	2.3901787	-0.95189	12.25	12.376894	36.0	0.0	1000.0	710.0	0.008875	-0.004573143	0.3357255	1.4589251	-1.0397434	1.4872944	1.0535471	4.683179	-0.68198985	-0.00179806	-0.04063897	-1.1174812	-0.5461844	0.6811422	0.8248751	3.683179	-0.1	1.6151743	0.3210037	4.5209713	0.547784	0.0668129	-0.021496546	1.5770888	-0.43820834	-0.0017980762	-0.039764304	31.0	1.7126532	0.012811258	80000	193.17237877845764
10	0.6476743	0.938583	1.9768679	-0.866888	7.25	6.4951906	21.0	0.0	1000.0	768.0	0.008727272727272728	0.05934939	0.19298288	0.67924595	-0.6029177	0.71452284	1.1694351	4.907029	-1.6041715	-0.0102952635	-0.012197307	-0.7032174	-0.08937955	0.2932802	0.69148225	3.9070292	-0.1	2.4375827	0.3636978	4.693382	0.98936653	0.06747015	-0.017600182	0.8772391	-0.32094896	-0.010295282	-0.013893512	9.0	1.6853851	0.010759411	88000	212.91578316688538
11	-0.14759125	0.6404618	0.84209293	-1.206004	7.75	5.1173725	18.0	2.0	1000.0	830.0	0.008645833333333333	0.05502314	0.21132606	0.5861054	-0.572575	0.78921753	0.77924335	4.1870275	-0.9062314	0.029291296	-0.10053194	-0.39532557	-0.036390066	0.15153241	0.45578682	3.1870275	-0.1	2.8037543	0.40196487	4.8025646	1.3116715	0.03691527	-0.01902955	0.9103378	-0.20634198	0.029291289	-0.11169468	9.0	1.6811213	0.023531502	96000	232.82198572158813
