Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.9083096	0.5363425	-0.038525727	-1.9893771	2.6884685	4.1408086	11.812811	0.0	1000.0	21.507748	0.0026884684562683107	0.63912123	0.50427103	1.5652326	-0.3988673	0.3239312	0.5116791	1.0579605	-1.0311346	-0.12159095	0.03850635	0.06938846	-0.027514096	-0.09766121	0.012913043	0.05796051	-0.1	0.71071106	0.58840215	2.7622435	0.14772329	0.995349	-0.7445298	0.839808	-0.35596046	-0.121590964	0.0479889	79.0	1.837877	0.005557284	8000	28.12180995941162
1	-0.66240686	1.215046	0.9212758	-2.3602538	4.7263155	5.5185366	18.097809	0.0	1000.0	59.318268	0.0037073917388916015	-0.01672454	0.09863431	0.3216934	-0.4582511	0.3528291	0.13881415	0.97073406	-0.062457167	-0.004265626	-0.014927578	0.043339252	-0.016981278	-0.09999062	0.0007921381	-0.02926594	-0.1	0.43341762	0.44752452	2.271148	0.098991	0.19124457	-0.090901054	1.2115991	-0.28097343	-0.004265602	0.0008349519	79.0	1.8395687	0.0060450085	16000	57.66907715797424
2	-0.8119229	0.7022932	0.063362	-1.8898737	7.792839	7.5579863	21.469067	0.0	1000.0	121.66098	0.005069207509358724	-0.063897595	0.21592295	0.5975896	-0.6731454	0.6019309	0.3999846	1.8643963	-0.30458447	0.005131477	-0.019567855	0.014547226	-0.0042745564	-0.041772634	0.13927707	0.86439633	-0.1	0.2721565	0.31083277	1.7555975	0.066969715	0.1827323	-0.059910193	1.556653	-0.47426462	0.0051314766	-0.0021318465	79.0	1.8228698	0.0076917517	24000	88.23715233802795
3	-0.4202382	0.94531435	1.1444335	-1.5063819	7.2514067	7.980748	21.618025	0.0	1000.0	179.67224	0.005614757537841797	-0.014971735	0.28905657	0.95696664	-0.820838	0.6635691	0.55109376	2.9949992	-0.5768267	0.002061248	-0.017952615	-0.005205242	-0.0007063737	0.038686942	0.2944588	1.9949992	-0.1	0.1972905	0.22161394	1.4301137	0.05459068	0.118238054	-0.03265422	1.0616711	-0.40225136	0.0020612597	-0.00047482015	79.0	1.8231738	0.0077620572	32000	117.72142553329468
4	-0.15294167	0.5826217	1.1712039	-0.8199168	7.6528463	9.944126	31.66271	0.0	1000.0	240.895	0.006022375106811523	-0.01241243	0.37061816	0.9361371	-1.028541	0.98233587	0.97074413	4.327768	-0.9861598	0.0039092298	-0.014643706	-0.06738061	-0.12035608	0.3382442	0.66080105	3.3277678	-0.1	0.20464902	0.2060545	1.2958344	0.06506214	0.13982068	-0.04656426	1.2777909	-0.37326932	0.003909225	0.0020634364	79.0	1.7875047	0.007371764	40000	147.62787890434265
5	-0.36045772	1.3875606	1.8080093	-2.328437	6.2640424	8.427635	22.152718	0.0	1000.0	291.00735	0.006062653223673503	0.008161057	0.25204214	0.44798785	-1.0768956	0.36349922	1.0537658	4.4755154	-1.6873366	-0.010261378	-0.021406561	-0.08527923	-0.12043001	0.14621942	0.5576691	3.4755154	-0.1	0.5289551	0.354039	2.006154	0.18046468	0.1311507	-0.041017115	0.9079852	-0.34551752	-0.010261385	-0.007276321	79.0	1.7820209	0.009901384	48000	176.87825775146484
6	-0.20993584	0.8376031	0.98898727	-1.3678182	12.827249	9.551429	32.55295	0.0	1000.0	393.62534	0.0070290238516671315	0.0026598878	0.3203782	0.710018	-1.1884886	1.311613	1.266873	5.9235935	-1.0812801	0.021308022	-0.03236708	-0.8352124	-0.53720266	0.6170651	0.9935935	4.9235935	-0.1	1.3275058	0.5075949	2.7418683	0.40871486	0.08441732	-0.029364172	2.5427837	-0.8966224	0.021308046	-0.026409507	39.0	1.7533369	0.012407499	56000	204.40432381629944
7	0.4380845	1.103521	2.6699126	-1.1190125	6.992362	9.073547	29.123121	0.0	1000.0	449.5642	0.007024440765380859	-0.01433893	0.34203085	0.7927977	-1.3468024	0.64828026	1.5424402	8.6494255	-2.0918126	-0.009555977	-0.0097732525	-0.8427522	-0.052521825	0.37191632	1.1027539	7.6494255	-0.1	2.1787133	0.55328494	3.3288915	0.74767643	0.07346251	-0.020732366	1.6356071	-0.6204901	-0.00955599	-0.00830297	3.0	1.7403567	0.00478531	64000	230.71283292770386
8	-0.18230063	0.83908856	1.0374652	-1.2748836	7.9392233	4.425651	14.219765	0.0	1000.0	513.078	0.007126083374023437	-0.027516672	0.26568127	0.54248756	-0.99226296	1.226204	1.1985162	6.7600822	-0.7445624	0.00896155	-0.024869554	-1.2592349	-0.22255671	0.53280073	0.9334596	5.7600822	-0.1	2.3208115	0.5531676	3.4828808	0.7601496	0.08948807	-0.033641003	1.8800997	-0.8182149	0.008961564	-0.023434367	17.0	1.739279	0.010854656	72000	257.96718645095825
9	0.22692129	0.60001767	0.9486188	-0.74695003	4.9638104	4.9216056	11.461907	0.0	1000.0	552.7885	0.006909856414794922	0.03239086	0.3301245	0.81694704	-0.9913826	0.46061853	0.6648784	5.628829	-0.96736	-0.009139435	-0.033700943	-0.07163252	-0.013538241	0.023721954	0.34151825	4.628829	-0.1	2.7347808	0.5651009	3.8953881	0.951727	0.05932235	-0.025435418	0.7152808	-0.15674186	-0.009139423	-0.028635036	45.0	1.7198865	0.012288834	80000	285.6269552707672
10	0.778381	1.0348428	3.2599657	-0.21795556	5.6808248	9.256756	28.169788	0.0	1000.0	598.2351	0.006798126220703125	0.08484303	0.2576924	0.71413577	-0.73032916	0.47853687	0.56271964	2.9879878	-0.63118917	0.008816221	-0.029973008	0.01345963	0.00016963482	-0.005194862	0.27210245	1.9879878	-0.1	3.3018878	0.56746966	4.4377403	1.3242005	0.069020554	-0.027627267	2.2386131	-0.82320714	0.008816219	-0.025985125	22.0	1.7013032	0.012371886	88000	312.15686678886414
11	0.29304415	1.1212014	1.6235945	-1.9878342	2.2255085	3.2436287	8.852293	0.0	1000.0	616.0392	0.006417074839274089	0.048086148	0.22002539	0.50478387	-0.7017979	0.4747145	0.66448545	4.2623277	-1.1044346	-0.030791905	-0.026883878	-0.086696014	-0.001527831	0.0213958	0.3397441	3.2623277	-0.1	3.3949668	0.57119673	4.542436	1.3879365	0.07852095	-0.013760209	0.59097743	-0.28096566	-0.030791903	-0.025232116	24.0	1.6875949	0.012440698	96000	339.3214511871338
12	-0.04854551	0.43515447	0.60104585	-0.8352248	2.7147021	5.3512173	15.968291	0.0	1000.0	637.7568	0.006132276681753306	-0.025074968	0.21116176	0.4374277	-0.59656876	0.1725206	0.3614881	2.6729639	-0.5845051	-0.005113082	-0.0036948705	0.28828704	0.00024563074	-0.08461339	0.09897651	1.6729639	-0.1	3.4225972	0.5728501	4.5371647	1.4228013	0.04638549	-0.013459608	0.98296744	-0.12919348	-0.005113054	-0.0050251503	2.0	1.6689749	0.012346036	104000	366.3519468307495
13	0.18743716	0.6533666	1.7450972	-0.5485976	1.6078045	3.245704	9.966069	0.0	1000.0	650.6192	0.005809100014822824	0.055221923	0.19196793	0.50152415	-0.68473285	0.2519372	0.41287938	3.2158306	-0.6465725	-0.0011632439	-0.0053137373	0.24377137	6.823242e-05	-0.07294624	0.14996807	2.2158306	-0.1	3.3928092	0.5880412	4.5514717	1.394358	0.040551662	-0.008154318	0.4010528	-0.09190601	-0.0011632527	-0.003199608	3.0	1.6666641	0.008203217	112000	393.22699785232544
14	0.25878954	0.421951	0.9323666	-0.34306997	4.2317963	8.772052	27.030428	0.0	1000.0	684.4736	0.005703946431477864	0.028652988	0.26889068	0.5564657	-0.7936013	0.1958234	0.26657265	1.4902823	-0.4417392	0.009725131	-0.013878416	0.3395038	-0.0015744865	-0.098247334	0.022022625	0.4902823	-0.1	3.4503007	0.57773364	4.5761495	1.4618928	0.051906325	-0.027889822	2.1432104	-0.52462816	0.009725143	-0.012713015	11.0	1.6640452	0.010927573	120000	420.47427225112915
15	-0.010029957	0.8593264	0.8140423	-1.8433083	4.152301	9.744398	29.845583	0.0	1000.0	717.692	0.005606968879699707	-0.0015870972	0.17041717	0.4482588	-0.4844308	0.36575967	0.7807342	4.4435964	-0.768604	-0.00777295	-0.022429358	-0.19551821	-0.000725165	0.052465048	0.44938102	3.4435964	-0.1	3.425819	0.5690956	4.567117	1.5027883	0.052428246	-0.010504574	1.6855183	-0.3948908	-0.0077729435	-0.019278849	24.0	1.6598518	0.012460862	128000	447.2028868198395
